Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Архангельская область, все устройства
декабрь 2017;6;0,0000143;
январь 2018;9;0,0000219;
февраль 2018;8;0,0000179;
март 2018;9;0,0000214;
апрель 2018;9;0,0000224;
май 2018;10;0,0000277;
июнь 2018;13;0,0000385;
июль 2018;18;0,0000507;
август 2018;9;0,0000211;
сентябрь 2018;15;0,0000305;
октябрь 2018;6;0,0000135;
ноябрь 2018;9;0,0000203;
декабрь 2018;10;0,0000217;
январь 2019;16;0,0000371;
февраль 2019;18;0,0000391;
март 2019;2;0,0000044;
апрель 2019;12;0,0000288;
май 2019;5;0,0000136;
июнь 2019;6;0,0000169;
июль 2019;13;0,0000369;
август 2019;22;0,0000557;
сентябрь 2019;21;0,0000455;
октябрь 2019;10;0,0000219;
ноябрь 2019;8;0,0000168;
декабрь 2019;21;0,0000429;
январь 2020;23;0,0000491;
февраль 2020;13;0,0000251;
март 2020;4;0,0000056;
апрель 2020;12;0,0000197;
май 2020;13;0,0000284;
июнь 2020;7;0,0000168;
июль 2020;8;0,0000198;
август 2020;16;0,0000335;
сентябрь 2020;14;0,0000252;
октябрь 2020;9;0,0000154;
ноябрь 2020;13;0,0000228;
декабрь 2020;10;0,0000180;
январь 2021;23;0,0000436;
февраль 2021;21;0,0000377;
март 2021;17;0,0000282;
апрель 2021;29;0,0000471;
май 2021;19;0,0000354;
июнь 2021;16;0,0000357;
июль 2021;27;0,0000577;
август 2021;11;0,0000185;
сентябрь 2021;18;0,0000268;
октябрь 2021;13;0,0000192;
ноябрь 2021;18;0,0000251;
декабрь 2021;11;0,0000157;
январь 2022;5;0,0000072;
февраль 2022;56;0,0000759;
март 2022;45;0,0000618;
апрель 2022;11;0,0000157;
май 2022;108;0,0001812;
июнь 2022;51;0,0000909;
июль 2022;29;0,0000521;
август 2022;80;0,0001199;
сентябрь 2022;32;0,0000441;
октябрь 2022;39;0,0000530;
ноябрь 2022;22;0,0000296;
декабрь 2022;32;0,0000438;
январь 2023;31;0,0000461;
февраль 2023;39;0,0000531;
март 2023;34;0,0000479;
апрель 2023;53;0,0000796;
май 2023;38;0,0000654;
июнь 2023;62;0,0001107;
июль 2023;24;0,0000443;
август 2023;26;0,0000419;
сентябрь 2023;17;0,0000244;
октябрь 2023;13;0,0000186;
ноябрь 2023;18;0,0000252;
декабрь 2023;21;0,0000295;
январь 2024;16;0,0000238;
февраль 2024;21;0,0000305;
март 2024;22;0,0000326;
апрель 2024;19;0,0000298;
май 2024;17;0,0000323;
июнь 2024;17;0,0000337;
июль 2024;26;0,0000518;
август 2024;16;0,0000281;
сентябрь 2024;20;0,0000306;
октябрь 2024;12;0,0000176;
ноябрь 2024;19;0,0000266;
декабрь 2024;21;0,0000304;
