Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Ставропольский край, все устройства
декабрь 2017;82;0,000092;
январь 2018;30;0,000034;
февраль 2018;66;0,000070;
март 2018;71;0,000087;
апрель 2018;68;0,000081;
май 2018;74;0,000094;
июнь 2018;91;0,000111;
июль 2018;74;0,000090;
август 2018;64;0,000071;
сентябрь 2018;57;0,000057;
октябрь 2018;66;0,000069;
ноябрь 2018;62;0,000062;
декабрь 2018;60;0,000058;
январь 2019;66;0,000068;
февраль 2019;82;0,000080;
март 2019;47;0,000048;
апрель 2019;87;0,000094;
май 2019;86;0,000099;
июнь 2019;78;0,000088;
июль 2019;80;0,000092;
август 2019;67;0,000073;
сентябрь 2019;105;0,000105;
октябрь 2019;83;0,000079;
ноябрь 2019;100;0,000091;
декабрь 2019;74;0,000064;
январь 2020;61;0,000055;
февраль 2020;63;0,000052;
март 2020;20;0,000013;
апрель 2020;21;0,000014;
май 2020;43;0,000038;
июнь 2020;35;0,000032;
июль 2020;76;0,000072;
август 2020;92;0,000079;
сентябрь 2020;65;0,000049;
октябрь 2020;57;0,000041;
ноябрь 2020;78;0,000056;
декабрь 2020;61;0,000047;
январь 2021;214;0,000177;
февраль 2021;127;0,000096;
март 2021;142;0,000110;
апрель 2021;108;0,000088;
май 2021;151;0,000123;
июнь 2021;125;0,000103;
июль 2021;160;0,000130;
август 2021;143;0,000112;
сентябрь 2021;134;0,000099;
октябрь 2021;156;0,000110;
ноябрь 2021;73;0,000051;
декабрь 2021;152;0,000104;
январь 2022;135;0,000097;
февраль 2022;182;0,000117;
март 2022;160;0,000112;
апрель 2022;158;0,000108;
май 2022;197;0,000146;
июнь 2022;141;0,000105;
июль 2022;191;0,000141;
август 2022;274;0,000188;
сентябрь 2022;152;0,000097;
октябрь 2022;108;0,000068;
ноябрь 2022;58;0,000036;
декабрь 2022;114;0,000071;
январь 2023;120;0,000082;
февраль 2023;159;0,000101;
март 2023;199;0,000133;
апрель 2023;370;0,000249;
май 2023;163;0,000120;
июнь 2023;146;0,000110;
июль 2023;129;0,000098;
август 2023;153;0,000112;
сентябрь 2023;107;0,000072;
октябрь 2023;111;0,000074;
ноябрь 2023;144;0,000096;
декабрь 2023;192;0,000126;
январь 2024;141;0,000099;
февраль 2024;121;0,000083;
март 2024;130;0,000097;
апрель 2024;101;0,000075;
май 2024;96;0,000080;
июнь 2024;119;0,000098;
июль 2024;119;0,000097;
август 2024;113;0,000088;
сентябрь 2024;148;0,000105;
октябрь 2024;113;0,000077;
ноябрь 2024;72;0,000047;
декабрь 2024;62;0,000040;
