Region,Date,avg_nominal_gross_wages
Russian Federation,2013-01-01,26840.1
Russian Federation,2013-02-01,26619.599999999999
Russian Federation,2013-03-01,28692.9
Russian Federation,2013-04-01,30025.9
Russian Federation,2013-05-01,29723
Russian Federation,2013-06-01,30986.1
Russian Federation,2013-07-01,30228.7
Russian Federation,2013-08-01,29226.3
Russian Federation,2013-09-01,29345.5
Russian Federation,2013-10-01,30069
Russian Federation,2013-11-01,30289.599999999999
Russian Federation,2013-12-01,39648.400000000001
Russian Federation,2014-01-01,29535
Russian Federation,2014-02-01,29255.3
Russian Federation,2014-03-01,31485.9
Russian Federation,2014-04-01,32947.300000000003
Russian Federation,2014-05-01,32271.8
Russian Federation,2014-06-01,33726.1
Russian Federation,2014-07-01,32514.7
Russian Federation,2014-08-01,30763.200000000001
Russian Federation,2014-09-01,31929.200000000001
Russian Federation,2014-10-01,32439.1
Russian Federation,2014-11-01,32546.1
Russian Federation,2014-12-01,42135.7
Russian Federation,2015-01-01,30928.6
Russian Federation,2015-02-01,31325.3
Russian Federation,2015-03-01,32642.2
Russian Federation,2015-04-01,34377.300000000003
Russian Federation,2015-05-01,34380.400000000001
Russian Federation,2015-06-01,35394.5
Russian Federation,2015-07-01,33900.6
Russian Federation,2015-08-01,32175.8
Russian Federation,2015-09-01,32911
Russian Federation,2015-10-01,33357
Russian Federation,2015-11-01,33346.800000000003
Russian Federation,2015-12-01,43407.7
Russian Federation,2016-01-01,32659.599999999999
Russian Federation,2016-02-01,33873.4
Russian Federation,2016-03-01,35500.6
Russian Federation,2016-04-01,36497.4
Russian Federation,2016-05-01,37269.800000000003
Russian Federation,2016-06-01,38447.4
Russian Federation,2016-07-01,35887.800000000003
Russian Federation,2016-08-01,35405.1
Russian Federation,2016-09-01,35843.4
Russian Federation,2016-10-01,35749
Russian Federation,2016-11-01,36195.199999999997
Russian Federation,2016-12-01,47554
Russian Federation,2017-01-01,34421.596137846755
Russian Federation,2017-02-01,35497.107328761245
Russian Federation,2017-03-01,37899.482511587972
Russian Federation,2017-04-01,39225.106199018592
Russian Federation,2017-05-01,39679.443860594751
Russian Federation,2017-06-01,41453.816685241392
Russian Federation,2017-07-01,38073.160276889641
Russian Federation,2017-08-01,37098.688918908359
Russian Federation,2017-09-01,38046.788417519194
Russian Federation,2017-10-01,38332.64732426007
Russian Federation,2017-11-01,38847.808816735269
Russian Federation,2017-12-01,51197.345185527614
Russian Federation,2018-01-01,39016.684178807125
Russian Federation,2018-02-01,40443.36287949518
Russian Federation,2018-03-01,42363.573197286161
Russian Federation,2018-04-01,43381.051688982996
Russian Federation,2018-05-01,44075.537537382857
Russian Federation,2018-06-01,45848.077647982362
Russian Federation,2018-07-01,42413.465176686899
Russian Federation,2018-08-01,41363.600671394117
Russian Federation,2018-09-01,41774.303366412292
Russian Federation,2018-10-01,42331.668714521351
Russian Federation,2018-11-01,42595.005329930966
Russian Federation,2018-12-01,55569.330224101825
Russian Federation,2019-01-01,42263.199999999997
Russian Federation,2019-02-01,43062.400000000001
Russian Federation,2019-03-01,46324.2
Russian Federation,2019-04-01,48029.8
Russian Federation,2019-05-01,47926.2
Russian Federation,2019-06-01,49347.9
Russian Federation,2019-07-01,46509.4
Russian Federation,2019-08-01,44961.3
Russian Federation,2019-09-01,45540.9
Russian Federation,2019-10-01,46549
Russian Federation,2019-11-01,46284.5
Russian Federation,2019-12-01,62239.199999999997
Russian Federation,2020-01-01,46674.1
Russian Federation,2020-02-01,47256.5
Russian Federation,2020-03-01,50947.5
Russian Federation,2020-04-01,49306
Russian Federation,2020-05-01,50746.5
Russian Federation,2020-06-01,52123.1
Russian Federation,2020-07-01,50145.1
Russian Federation,2020-08-01,47648.5
Russian Federation,2020-09-01,49258.7
Russian Federation,2020-10-01,49538.5
Russian Federation,2020-11-01,49274.3
Russian Federation,2020-12-01,69277.600000000006
Russian Federation,2021-01-01,49516.3
Russian Federation,2021-02-01,51228.800000000003
Russian Federation,2021-03-01,55207.7
Russian Federation,2021-04-01,56613.9
Russian Federation,2021-05-01,56171.3
Russian Federation,2021-06-01,58781.7
Russian Federation,2021-07-01,55169.8
Russian Federation,2021-08-01,52355.1
Russian Federation,2021-09-01,54687.1
Russian Federation,2021-10-01,54649
Russian Federation,2021-11-01,55639.4
Russian Federation,2021-12-01,77994.2
Russian Federation,2022-01-01,55717
Russian Federation,2022-02-01,57343.6
Russian Federation,2022-03-01,66757.399999999994
Russian Federation,2022-04-01,62268.9
Russian Federation,2022-05-01,62456.800000000003
Russian Federation,2022-06-01,66572.2
Russian Federation,2022-07-01,62199.7
Russian Federation,2022-08-01,59906.7
Russian Federation,2022-09-01,61878.7
Russian Federation,2022-10-01,62470
Russian Federation,2022-11-01,63060.2
Russian Federation,2022-12-01,88468.3
Russian Federation,2023-01-01,63260.3
Russian Federation,2023-02-01,65093.7
Russian Federation,2023-03-01,71334.399999999994
Russian Federation,2023-04-01,71203.600000000006
Russian Federation,2023-05-01,72851.199999999997
Russian Federation,2023-06-01,76604.2
Russian Federation,2023-07-01,71419.399999999994
Russian Federation,2023-08-01,69439.199999999997
Russian Federation,2023-09-01,70921.5
Russian Federation,2023-10-01,73829.5
Russian Federation,2023-11-01,73383
Russian Federation,2023-12-01,103814.9
Russian Federation,2024-01-01,75033.5
Russian Federation,2024-02-01,78432
Russian Federation,2024-03-01,87739.6
Russian Federation,2024-04-01,83874.8
Russian Federation,2024-05-01,86383.7
Russian Federation,2024-06-01,89144.9
Russian Federation,2024-07-01,85016.5
Russian Federation,2024-08-01,82218.3
Russian Federation,2024-09-01,84324.3
Russian Federation,2024-10-01,86582.1
Russian Federation,2024-11-01,86399.3
Russian Federation,2024-12-01,NA
Central Federal District,2013-01-01,32118.1
Central Federal District,2013-02-01,32249.7
Central Federal District,2013-03-01,35164.6
Central Federal District,2013-04-01,37138
Central Federal District,2013-05-01,35546.699999999997
Central Federal District,2013-06-01,37723
Central Federal District,2013-07-01,37394
Central Federal District,2013-08-01,35277.9
Central Federal District,2013-09-01,35156.400000000001
Central Federal District,2013-10-01,36209
Central Federal District,2013-11-01,36527.300000000003
Central Federal District,2013-12-01,48791.7
Central Federal District,2014-01-01,35669.599999999999
Central Federal District,2014-02-01,35821
Central Federal District,2014-03-01,38616.400000000001
Central Federal District,2014-04-01,41048.1
Central Federal District,2014-05-01,38908.9
Central Federal District,2014-06-01,41219.300000000003
Central Federal District,2014-07-01,40342
Central Federal District,2014-08-01,37744.199999999997
Central Federal District,2014-09-01,39276.5
Central Federal District,2014-10-01,40212.300000000003
Central Federal District,2014-11-01,40290.6
Central Federal District,2014-12-01,52708.2
Central Federal District,2015-01-01,37413.5
Central Federal District,2015-02-01,38872.6
Central Federal District,2015-03-01,39919.699999999997
Central Federal District,2015-04-01,42332
Central Federal District,2015-05-01,42063.9
Central Federal District,2015-06-01,43396.5
Central Federal District,2015-07-01,42095.199999999997
Central Federal District,2015-08-01,39567.9
Central Federal District,2015-09-01,40064.6
Central Federal District,2015-10-01,40823.699999999997
Central Federal District,2015-11-01,41094.9
Central Federal District,2015-12-01,55151.8
Central Federal District,2016-01-01,39737.9
Central Federal District,2016-02-01,42796.3
Central Federal District,2016-03-01,44960.6
Central Federal District,2016-04-01,46977.5
Central Federal District,2016-05-01,45540.7
Central Federal District,2016-06-01,47872.2
Central Federal District,2016-07-01,44954.5
Central Federal District,2016-08-01,44593.2
Central Federal District,2016-09-01,44341.599999999999
Central Federal District,2016-10-01,44439.4
Central Federal District,2016-11-01,44990.5
Central Federal District,2016-12-01,61183
Central Federal District,2017-01-01,41132.472777214934
Central Federal District,2017-02-01,43784.640672898262
Central Federal District,2017-03-01,47066.269945931039
Central Federal District,2017-04-01,49698.319719577608
Central Federal District,2017-05-01,47128.818508703764
Central Federal District,2017-06-01,51467.93274468743
Central Federal District,2017-07-01,46971.683833918105
Central Federal District,2017-08-01,45493.709395790582
Central Federal District,2017-09-01,46592.58859926241
Central Federal District,2017-10-01,47139.020794922602
Central Federal District,2017-11-01,47866.327236691126
Central Federal District,2017-12-01,65683.128227377383
Central Federal District,2018-01-01,47452.56529923479
Central Federal District,2018-02-01,51279.216096389828
Central Federal District,2018-03-01,53771.108479405746
Central Federal District,2018-04-01,56192.142998677962
Central Federal District,2018-05-01,53566.574931757561
Central Federal District,2018-06-01,58177.204035467992
Central Federal District,2018-07-01,52984.806847471802
Central Federal District,2018-08-01,51383.060016584976
Central Federal District,2018-09-01,51529.217602349396
Central Federal District,2018-10-01,52715.114810894498
Central Federal District,2018-11-01,52642.495123338958
Central Federal District,2018-12-01,71661.794213181216
Central Federal District,2019-01-01,52944.5
Central Federal District,2019-02-01,54939.5
Central Federal District,2019-03-01,60219.7
Central Federal District,2019-04-01,63711.199999999997
Central Federal District,2019-05-01,58602
Central Federal District,2019-06-01,62400.2
Central Federal District,2019-07-01,59236.3
Central Federal District,2019-08-01,56709.4
Central Federal District,2019-09-01,57136.5
Central Federal District,2019-10-01,58523.199999999997
Central Federal District,2019-11-01,58058.5
Central Federal District,2019-12-01,82267.3
Central Federal District,2020-01-01,58790.3
Central Federal District,2020-02-01,60058.2
Central Federal District,2020-03-01,66678.3
Central Federal District,2020-04-01,63943.199999999997
Central Federal District,2020-05-01,61580
Central Federal District,2020-06-01,64941.599999999999
Central Federal District,2020-07-01,64553.2
Central Federal District,2020-08-01,60047.3
Central Federal District,2020-09-01,61712
Central Federal District,2020-10-01,62683
Central Federal District,2020-11-01,62634.6
Central Federal District,2020-12-01,93504.2
Central Federal District,2021-01-01,62060
Central Federal District,2021-02-01,66414.3
Central Federal District,2021-03-01,73321.899999999994
Central Federal District,2021-04-01,74774.2
Central Federal District,2021-05-01,69933.7
Central Federal District,2021-06-01,73177.100000000006
Central Federal District,2021-07-01,71383.199999999997
Central Federal District,2021-08-01,66353.5
Central Federal District,2021-09-01,68697.5
Central Federal District,2021-10-01,69335.3
Central Federal District,2021-11-01,70271.600000000006
Central Federal District,2021-12-01,105705.5
Central Federal District,2022-01-01,70060.7
Central Federal District,2022-02-01,74510.600000000006
Central Federal District,2022-03-01,91197.9
Central Federal District,2022-04-01,79563.3
Central Federal District,2022-05-01,76665.8
Central Federal District,2022-06-01,83082.899999999994
Central Federal District,2022-07-01,77381.399999999994
Central Federal District,2022-08-01,74172.899999999994
Central Federal District,2022-09-01,76851
Central Federal District,2022-10-01,77421
Central Federal District,2022-11-01,77901.3
Central Federal District,2022-12-01,116778.3
Central Federal District,2023-01-01,77985
Central Federal District,2023-02-01,81351.5
Central Federal District,2023-03-01,92905.9
Central Federal District,2023-04-01,91288.3
Central Federal District,2023-05-01,88099.7
Central Federal District,2023-06-01,95179.8
Central Federal District,2023-07-01,88478.3
Central Federal District,2023-08-01,85619.199999999997
Central Federal District,2023-09-01,87731.7
Central Federal District,2023-10-01,92821.8
Central Federal District,2023-11-01,90852.6
Central Federal District,2023-12-01,139515.79999999999
Central Federal District,2024-01-01,93297.1
Central Federal District,2024-02-01,99488.8
Central Federal District,2024-03-01,116439.7
Central Federal District,2024-04-01,107158.7
Central Federal District,2024-05-01,105131.1
Central Federal District,2024-06-01,110067.3
Central Federal District,2024-07-01,106635.8
Central Federal District,2024-08-01,101382.6
Central Federal District,2024-09-01,104051.8
Central Federal District,2024-10-01,107904.4
Central Federal District,2024-11-01,107168.5
Central Federal District,2024-12-01,NA
Belgorod Oblast,2013-01-01,20381.2
Belgorod Oblast,2013-02-01,19643.7
Belgorod Oblast,2013-03-01,21027.200000000001
Belgorod Oblast,2013-04-01,21700.9
Belgorod Oblast,2013-05-01,21905.5
Belgorod Oblast,2013-06-01,22323
Belgorod Oblast,2013-07-01,23128.5
Belgorod Oblast,2013-08-01,22271.200000000001
Belgorod Oblast,2013-09-01,21870.400000000001
Belgorod Oblast,2013-10-01,22496.2
Belgorod Oblast,2013-11-01,22587.9
Belgorod Oblast,2013-12-01,27553.1
Belgorod Oblast,2014-01-01,22458.799999999999
Belgorod Oblast,2014-02-01,21473.599999999999
Belgorod Oblast,2014-03-01,22816.3
Belgorod Oblast,2014-04-01,23169.7
Belgorod Oblast,2014-05-01,23545.5
Belgorod Oblast,2014-06-01,24130.799999999999
Belgorod Oblast,2014-07-01,24619.8
Belgorod Oblast,2014-08-01,23700.3
Belgorod Oblast,2014-09-01,23681.8
Belgorod Oblast,2014-10-01,24262.6
Belgorod Oblast,2014-11-01,24015.9
Belgorod Oblast,2014-12-01,29821.1
Belgorod Oblast,2015-01-01,23826.2
Belgorod Oblast,2015-02-01,22825.3
Belgorod Oblast,2015-03-01,24471.599999999999
Belgorod Oblast,2015-04-01,24488.2
Belgorod Oblast,2015-05-01,24957.7
Belgorod Oblast,2015-06-01,25671.1
Belgorod Oblast,2015-07-01,26182.7
Belgorod Oblast,2015-08-01,25133.1
Belgorod Oblast,2015-09-01,25278.6
Belgorod Oblast,2015-10-01,25498.3
Belgorod Oblast,2015-11-01,25143.200000000001
Belgorod Oblast,2015-12-01,30886.1
Belgorod Oblast,2016-01-01,24433.7
Belgorod Oblast,2016-02-01,24508.5
Belgorod Oblast,2016-03-01,26211.3
Belgorod Oblast,2016-04-01,26133.9
Belgorod Oblast,2016-05-01,26375
Belgorod Oblast,2016-06-01,27292.3
Belgorod Oblast,2016-07-01,27669.7
Belgorod Oblast,2016-08-01,27103.3
Belgorod Oblast,2016-09-01,26669.4
Belgorod Oblast,2016-10-01,26835.9
Belgorod Oblast,2016-11-01,26720.2
Belgorod Oblast,2016-12-01,32471.599999999999
Belgorod Oblast,2017-01-01,27550.428304228619
Belgorod Oblast,2017-02-01,26693.481675782008
Belgorod Oblast,2017-03-01,28212.624597885755
Belgorod Oblast,2017-04-01,28062.416177021423
Belgorod Oblast,2017-05-01,28444.151835705019
Belgorod Oblast,2017-06-01,29732.011442968706
Belgorod Oblast,2017-07-01,29299.01741742056
Belgorod Oblast,2017-08-01,28578.030607763001
Belgorod Oblast,2017-09-01,29075.170373385259
Belgorod Oblast,2017-10-01,29331.592580689758
Belgorod Oblast,2017-11-01,28757.92553979695
Belgorod Oblast,2017-12-01,35191.164454068887
Belgorod Oblast,2018-01-01,29297.685750951441
Belgorod Oblast,2018-02-01,29455.536831001395
Belgorod Oblast,2018-03-01,30092.120040402893
Belgorod Oblast,2018-04-01,31477.55910940886
Belgorod Oblast,2018-05-01,31179.39492654521
Belgorod Oblast,2018-06-01,31947.007286164917
Belgorod Oblast,2018-07-01,32422.184653448479
Belgorod Oblast,2018-08-01,31603.086760206395
Belgorod Oblast,2018-09-01,30909.676469769016
Belgorod Oblast,2018-10-01,31823.450615189446
Belgorod Oblast,2018-11-01,31162.800891049763
Belgorod Oblast,2018-12-01,37577.386047422428
Belgorod Oblast,2019-01-01,31858
Belgorod Oblast,2019-02-01,30679.9
Belgorod Oblast,2019-03-01,32926.5
Belgorod Oblast,2019-04-01,33617.199999999997
Belgorod Oblast,2019-05-01,33899.1
Belgorod Oblast,2019-06-01,34149.1
Belgorod Oblast,2019-07-01,35196.300000000003
Belgorod Oblast,2019-08-01,34048.5
Belgorod Oblast,2019-09-01,33948.699999999997
Belgorod Oblast,2019-10-01,35324.300000000003
Belgorod Oblast,2019-11-01,34084.699999999997
Belgorod Oblast,2019-12-01,42109.2
Belgorod Oblast,2020-01-01,35590.6
Belgorod Oblast,2020-02-01,34484.9
Belgorod Oblast,2020-03-01,36199
Belgorod Oblast,2020-04-01,35969.599999999999
Belgorod Oblast,2020-05-01,36108.9
Belgorod Oblast,2020-06-01,37516.199999999997
Belgorod Oblast,2020-07-01,38915.800000000003
Belgorod Oblast,2020-08-01,36674.300000000003
Belgorod Oblast,2020-09-01,36500.800000000003
Belgorod Oblast,2020-10-01,37601.199999999997
Belgorod Oblast,2020-11-01,36864
Belgorod Oblast,2020-12-01,45944.9
Belgorod Oblast,2021-01-01,37801.9
Belgorod Oblast,2021-02-01,36393.4
Belgorod Oblast,2021-03-01,39487.199999999997
Belgorod Oblast,2021-04-01,40280.800000000003
Belgorod Oblast,2021-05-01,39730.800000000003
Belgorod Oblast,2021-06-01,41619.699999999997
Belgorod Oblast,2021-07-01,42958.6
Belgorod Oblast,2021-08-01,40321.800000000003
Belgorod Oblast,2021-09-01,40651.199999999997
Belgorod Oblast,2021-10-01,42444.3
Belgorod Oblast,2021-11-01,41878
Belgorod Oblast,2021-12-01,52616
Belgorod Oblast,2022-01-01,43839.5
Belgorod Oblast,2022-02-01,42168.6
Belgorod Oblast,2022-03-01,47558.7
Belgorod Oblast,2022-04-01,46406.6
Belgorod Oblast,2022-05-01,46133.3
Belgorod Oblast,2022-06-01,47677
Belgorod Oblast,2022-07-01,48265.5
Belgorod Oblast,2022-08-01,47312.9
Belgorod Oblast,2022-09-01,45587.3
Belgorod Oblast,2022-10-01,47737
Belgorod Oblast,2022-11-01,47482.2
Belgorod Oblast,2022-12-01,60041.5
Belgorod Oblast,2023-01-01,48681
Belgorod Oblast,2023-02-01,47325.8
Belgorod Oblast,2023-03-01,51414.8
Belgorod Oblast,2023-04-01,50893.5
Belgorod Oblast,2023-05-01,52706.9
Belgorod Oblast,2023-06-01,54581.3
Belgorod Oblast,2023-07-01,55033.599999999999
Belgorod Oblast,2023-08-01,54391.199999999997
Belgorod Oblast,2023-09-01,52906
Belgorod Oblast,2023-10-01,56284.7
Belgorod Oblast,2023-11-01,56081
Belgorod Oblast,2023-12-01,69352
Belgorod Oblast,2024-01-01,60668
Belgorod Oblast,2024-02-01,57500.4
Belgorod Oblast,2024-03-01,62807.9
Belgorod Oblast,2024-04-01,61818.2
Belgorod Oblast,2024-05-01,63677.599999999999
Belgorod Oblast,2024-06-01,64814
